Title,Author,Lector,Book_Score,Number_of_ratings_book,Lector_Score,Number_of_ratings_lector,Duration,Original_Category,Format,Language,Publication_Date,Volume_Info,Gender,Category
Tylko nie Mazury,Sylwia Skuza,Aleksander Bromberek,4.3,164.0,4.5,155.0,7.87,"Kryminały, Powieści kryminalne",Audiobook,Polski,2021-01-21,Tom 1 - Komisarz Grom,M,kryminały
Polana,Marcel Moss,Janusz Zadura,4.4,173.0,4.6,155.0,11.63,"Kryminały, Thrillery",Audiobook,Polski,2024-04-10,Nie dotyczy,M,kryminały
Uprowadzona,Michael Robotham,Filip Kosior,4.5,155.0,4.9,155.0,11.28,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2024-09-04,Tom 2 - Joseph O'Loughlin,M,kryminały
Na domowym froncie,Kristin Hannah,Dorota Landowska,4.6,157.0,4.8,155.0,16.15,Powieści,Audiobook,Polski,2024-02-19,Kolekcja dzieł Kristin Hannah,F,powieści
"Miłość, kłamstwa i sekrety",Krystyna Mirek,Marta Markowicz,4.5,161.0,4.5,155.0,8.13,Romans,Audiobook,Polski,2022-11-09,Nie dotyczy,F,romans
7 nawyków skutecznego działania,Stephen Covey,Ireneusz Załóg,4.4,177.0,4.8,155.0,12.45,"Rozwój osobisty, Psychologia, Mindfulness i duchowość",Audiobook,Polski,2018-03-20,Nie dotyczy,M,rozwój osobisty
Utonęła,Therese Bohman,Monika Chrzanowska,3.5,1661.0,4.1,1548.0,4.87,Powieści,Audiobook,Polski,2021-06-29,Tom 1 - Therese Bohman,F,powieści
Zniknięty ksiądz. Moja historia,Adamiec Marcin,Bauman Adam,4.6,152.0,4.8,154.0,8.13,"Biografie, Autobiografie",Audiobook,Polski,2024-02-10,Nie dotyczy,M,biografie
Spiżowy gniew,Michał Gołkowski,Andrzej Ferenc,4.4,162.0,4.8,154.0,16.68,Fantastyka,Audiobook,Polski,2018-03-14,Tom 1 - Siedmioksiąg grzechu,M,fantastyka
Koniec maskarady,Samantha Shannon,Paulina Holtz,4.5,164.0,4.7,154.0,18.92,Fantastyka,Audiobook,Polski,2023-04-06,Tom 4 - Czas Żniw,F,fantastyka
Żmija i skrzydła nocy,Carissa Broadbent,Marta Markowicz,4.0,170.0,4.2,154.0,16.9,Fantastyka,Audiobook,Polski,2024-08-01,Tom 1 - Królestwo Nyaxii,F,fantastyka
Pożegnalny ukłon,Arthur Conan Doyle,Robert Michalak,4.6,192.0,4.8,154.0,7.0,"Kryminały, Kryminały klasyczne",Audiobook,Polski,2019-08-26,Sherlock Holmes,M,kryminały
Paryska córka,Kristin Harmel,Monika Węgiel-Jarocińska,4.7,152.0,4.8,154.0,10.17,Powieści,Audiobook,Polski,2024-06-19,Kolekcja Kristin Harmel,F,powieści
Tai-pan,James Clavell,Marek Walczak,4.6,156.0,4.5,154.0,31.88,"Powieści, Powieści historyczne",Audiobook,Polski,2022-08-31,Tom 2 - Saga Azjatycka,M,powieści
"To, co za nami","Vi Keeland, Dylan Scott","Liliana May, Mirosław Brydżys",4.5,156.0,4.6,154.0,7.87,Romans,Audiobook,Polski,2021-12-08,Nie dotyczy,G,romans
Poranki na Miodowej,Joanna Szarańska,Paulina Raczyło,4.5,156.0,4.6,154.0,11.52,Romans,Audiobook,Polski,2022-03-25,Tom 1 - Na Miodowej,F,romans
Jestem szczęśliwym singlem,Beata Pawlikowska,Beata Pawlikowska,4.8,163.0,4.8,154.0,8.78,Rozwój osobisty,Audiobook,Polski,2019-07-31,Nie dotyczy,F,rozwój osobisty
Google. Narodziny imperium,Joanna Ziółkowska,Aleksander Bromberek,4.5,157.0,4.7,154.0,5.72,"Rozwój osobisty, Biografie, Literatura faktu, Społeczeństwo i kultura, Ekonomia i biznes, Hobby i wypoczynek",Audiobook,Polski,2024-07-30,Tom 9 - Inspirujący wizjonerzy,M,rozwój osobisty
Rebel Fleet. Tom 4. Flota Ziemi,B.V. Larson,Roch Siemianowski,4.6,156.0,4.8,154.0,10.15,Sci-fi,Audiobook,Polski,2020-02-25,Tom 4 - Rebel Fleet,M,sci-fi
Stella. Tom I. Narodziny psychopatki,Adrian Bednarek,Filip Kosior,4.6,1525.0,4.9,1538.0,8.47,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-02-15,Tom 1 - Stella,M,kryminały
Kulisy PiS,Kamil Dziubka,Bartosz Głogowski,4.6,1553.0,4.8,1531.0,6.38,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2023-09-04,Nie dotyczy,M,literatura faktu
Mój tata jest olbrzymem,Paweł Wakuła,Jan Marczewski,4.8,155.0,4.8,153.0,2.33,"Dla dzieci, Dla dzieci w wieku 6+, Dla dzieci w wieku 9+",Audiobook,Polski,2022-04-28,Nie dotyczy,M,dla dzieci
Szkoła LaOry,Agnieszka Grzelak,Anna Kerth,4.8,155.0,4.8,153.0,11.28,Fantastyka,Audiobook,Polski,2022-12-05,Tom 5 - Blask Corredo,F,fantastyka
Oko Ewy,Karin Fossum,Adam Bauman,4.2,157.0,4.4,153.0,10.55,"Kryminały, Powieści kryminalne",Audiobook,Polski,2022-09-28,Tom 1 - Konrad Sejer,M,kryminały
Faza REM,Agnieszka Sudomir,Aleksander Bromberek,4.3,164.0,4.5,153.0,8.85,"Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2020-11-01,Tom 1 - Miasto obiecane,M,kryminały
Wszyscy cię zobaczą,Anna Jansson,Anna Dereszowska,4.6,168.0,4.7,153.0,9.05,"Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2024-07-01,Tom 6 - Maria Wern,F,kryminały
Przeklęte piękno,Anna Jansson,Anna Dereszowska,4.6,165.0,4.7,153.0,11.37,"Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2023-11-06,Tom 3 - Maria Wern,F,kryminały
"Klątwy, sekrety i skandale. Historia Polski przez dziurkę od klucza",Sławomir Koper,Konrad Biel,4.3,154.0,4.0,153.0,9.77,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2022-04-06,Nie dotyczy,M,literatura faktu
Małe kobietki,Louisa May Alcott,Irena Lipczyńska,4.3,162.0,4.5,153.0,10.05,Powieści,Audiobook,Polski,2022-09-21,Nie dotyczy,F,powieści
Śmierć starszej pani . True monsters,Agnieszka Pruska,Mateusz Drozda,4.3,155.0,4.7,153.0,1.6,"Powieści, Kryminały, Powieści kryminalne, Kryminały klasyczne, Powieści detektywistyczne",Audiobook,Polski,2024-01-30,Tom 4 - True monsters,M,powieści
Córka fałszerza. Tom 2,Joanna Jax,Elżbieta Kijowska,4.8,155.0,4.8,153.0,9.12,"Powieści, Powieści historyczne",Audiobook,Polski,2021-01-12,Tom 2 - Córka fałszerza,F,powieści
Zła kobieta,Karolina Agata Socha,Anna Szymańczyk,4.5,153.0,4.3,153.0,6.3,Romans,Audiobook,Polski,2023-01-09,Nie dotyczy,F,romans
Armin,Agnieszka Lingas-Łoniewska,Agnieszka Postrzygacz,4.7,153.0,4.8,153.0,5.95,Romans,Audiobook,Polski,2024-02-28,Nie dotyczy,F,romans
Femme Fatale,Haner K.N.,Monika Chrzanowska,4.5,158.0,4.6,153.0,5.98,"Romans, Gorący romans",Audiobook,Polski,2024-02-10,Tom 2 - Skandal,F,romans
Pola dawno zapomnianych bitew. Per aspera ad astra.,Robert J. Szmidt,Wojciech Masiak,4.6,156.0,4.8,153.0,8.88,Sci-fi,Audiobook,Polski,2021-03-09,Pola dawno zapomnianych bitew,M,sci-fi
Pokrzywa i kość,T. Kingfisher,Filip Kosior,4.3,1570.0,4.8,1528.0,7.85,Fantastyka,Audiobook,Polski,2023-07-26,Nie dotyczy,M,fantastyka
Lux Perpetua cz. 1,Andrzej Sapkowski,zespół lektorów,4.9,1533.0,5.0,1522.0,11.72,Fantastyka,Audiobook,Polski,2021-05-07,Tom 5 - Trylogia husycka,G,fantastyka
Farma lalek,Wojciech Chmielarz,Janusz Zadura,4.7,1531.0,4.6,1520.0,12.6,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2023-02-08,Tom 2 - Komisarz Jakub Mortka,M,kryminały
"""MIAMI"" bez cenzury",Anna Wojtacha,Beata Kawka,4.5,155.0,4.4,152.0,5.3,"Biografie, Autobiografie, Biografie polityczne i społeczne",Audiobook,Polski,2021-05-31,Nie dotyczy,F,biografie
Po trupach do celu,Alek Rogoziński,Ewa Kasprzyk,4.3,159.0,4.4,152.0,7.0,"Kryminały, Powieści kryminalne, Rozrywka i humor, Powieści humorystyczne",Audiobook,Polski,2022-04-22,Nie dotyczy,F,kryminały
Influenza. Mroczny świat influenserów,Jakub Wątor,Mateusz Weber,4.1,154.0,4.4,152.0,8.38,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2024-05-10,Nie dotyczy,M,literatura faktu
Kobieta w deszczu,Dorota Milli,Kim Grygierzec,4.6,155.0,4.5,152.0,12.58,Powieści,Audiobook,Polski,2023-01-18,Tom 1 - Saga nadmorska,U,powieści
List z powstania,Anna Klejzerowicz,Magdalena Kumorek,4.6,169.0,4.8,152.0,8.28,"Powieści, Powieści historyczne, Powieści współczesne, Kryminały, Powieści kryminalne, Sagi rodzinne",Audiobook,Polski,2023-04-11,Nie dotyczy,F,powieści
Gierek i jego czerwony dwór,Iwona Kienzler,Elżbieta Kijowska,4.6,153.0,4.7,151.0,13.4,Biografie,Audiobook,Polski,2022-02-23,Nie dotyczy,F,biografie
Basia i przedszkole,Zofia Stanecka,Maria Seweryn,4.9,180.0,4.9,151.0,13.0,"Dla dzieci, Dla dzieci w wieku 3+, Dla dzieci w wieku 6+, Książki przygodowe dla dzieci, Zabawa dla dzieci",Audiobook,Polski,2018-12-13,Basia,M,dla dzieci
Zakopane. Sezon na samobójców,Jacek Rębacz,Maciej Szklarz,4.2,161.0,4.5,151.0,4.17,"Kryminały, Kryminały klasyczne",Audiobook,Polski,2022-01-27,Tom 1 - Detektyw Piotr Klucha,M,kryminały
Grzech,Max Czornyj,Robert Jarociński,4.4,165.0,4.7,151.0,9.1,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-06-28,Tom 1 - Komisarz Eryk Deryło,M,kryminały
Pies Baskervilleów,Artur Conan Doyle,Jakub Sender,4.5,156.0,3.6,151.0,6.35,"Kryminały, Powieści kryminalne, Kryminały klasyczne, Klasyka",Audiobook,Polski,2018-04-16,Nie dotyczy,M,kryminały
Czerwono mi,Alek Rogoziński,Katarzyna Pakosińska,4.4,158.0,4.6,151.0,6.85,"Kryminały, Powieści kryminalne, Rozrywka i humor, Powieści humorystyczne",Audiobook,Polski,2021-08-25,Nie dotyczy,F,kryminały
Polowanie na bestię z Majdanka,Jarosław Molenda,Kamil Małanicz,4.7,155.0,4.7,151.0,9.5,"Literatura faktu, True Crime",Audiobook,Polski,2023-08-30,Nie dotyczy,M,literatura faktu
To jedno lato,Dorota Milli,Joanna Domańska,4.5,151.0,4.8,151.0,13.42,Powieści,Audiobook,Polski,2019-05-28,Tom 1 - Marzenia do spełnienia,F,powieści
Duchy minionych lat. Tom 1. Wiosenne przebudzenie,Joanna Jax,Elżbieta Kijowska,4.7,152.0,4.7,151.0,10.83,"Powieści, Powieści historyczne",Audiobook,Polski,2022-11-03,Tom 1 - Duchy minionych lat,F,powieści
To jedno spojrzenie,Dorota Milli,Joanna Domańska,4.6,152.0,4.7,151.0,13.68,Romans,Audiobook,Polski,2019-11-05,Nie dotyczy,F,romans
Odyssey One. Tom 5. Król wojowników,Evan Currie,Roch Siemianowski,4.8,152.0,4.8,151.0,9.77,Sci-fi,Audiobook,Polski,2023-02-16,Tom 5 - Odyssey One,M,sci-fi
Zwykła przyzwoitość,Wojciech Chmielarz,Przemysław Bluszcz,4.6,1503.0,4.7,1505.0,11.4,"Kryminały, Kryminały klasyczne",Audiobook,Polski,2023-10-11,Tom 3 - Bezimienny,M,kryminały
Ksin. Początek,Konrad T. Lewandowski,Wojciech Masiak,4.5,154.0,4.8,150.0,8.58,Fantastyka,Audiobook,Polski,2024-05-15,Tom 1 - Saga o kotołaku,M,fantastyka
Siła niższa,Marta Kisiel,Hanna Chojnacka,4.7,155.0,4.9,150.0,8.88,Fantastyka,Audiobook,Polski,2023-07-12,Tom 2 - Dożywocie,F,fantastyka
Sekret pełni księżyca,Karen McQuestion,Masza Bogucka,4.3,157.0,4.6,150.0,10.55,"Kryminały, Thrillery",Audiobook,Polski,2022-10-12,Nie dotyczy,F,kryminały
Komisarz Kamil Soroka. Tom 2. Porwanie.,Agnieszka Pietrzyk,Andrzej Hausner,4.5,150.0,4.7,150.0,11.58,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2018-08-07,Tom 2 - Komisarz Kamil Soroka,M,kryminały
Wszystko wina kota!,Agnieszka Lingas-Łoniewska,Anna Szymańczyk,4.5,153.0,4.6,150.0,8.07,Powieści,Audiobook,Polski,2022-10-25,Nie dotyczy,F,powieści
Powrót nad jezioro,Dorota Milli,Joanna Domańska,4.5,151.0,4.8,150.0,11.27,Powieści,Audiobook,Polski,2022-06-08,Nie dotyczy,F,powieści
Mogło być gorzej,Danuta Noszczyńska,Ewa Abart,4.5,149.0,4.8,150.0,8.35,Powieści,Audiobook,Polski,2021-12-14,Tom 7 - Lekko i z humorem,F,powieści
Saga kaszubska t.1. Sztorm,Kaszubowska Daria,Giurow Diana,4.6,167.0,4.5,150.0,8.48,"Powieści, Powieści historyczne, Romans",Audiobook,Polski,2023-08-24,Tom 1 - Saga kaszubska,F,powieści
Starship. Tom 2. Pirat,Mike Resnick,Wojciech Masiak,4.5,150.0,4.8,150.0,8.82,Sci-fi,Audiobook,Polski,2020-03-24,Tom 2 - Starship,M,sci-fi
"Patrizia Reggiani. Czarna Wdowa, która rzuciła wyzwanie dynastii Gucci",Renata Pawlak,Jarosław Łukomski,4.3,15.0,4.7,15.0,1.23,"Biografie, Autobiografie",Audiobook,Polski,2023-02-01,Nie dotyczy,M,biografie
FCK Mini - Tajemnica Nikolaja Jorgensena,Daniel Zimakoff,Janusz German,4.2,20.0,4.5,15.0,17.0,"Dla dzieci, Dla dzieci w wieku 3+, Dla dzieci w wieku 9+, Klasyka dla dzieci, Sport dla dzieci",Audiobook,Polski,2019-06-21,Nie dotyczy,M,dla dzieci
Ania z Zielonego Wzgórza,Lucy Maud Montgomery,Joanna Pach-Żbikowska,4.9,15.0,5.0,15.0,12.68,"Dla dzieci, Dla dzieci w wieku 6+",Audiobook,Polski,2013-02-13,Nie dotyczy,F,dla dzieci
Wampirek. Tom 6. Wampirek w niebezpieczeństwie,Angela Sommer-Bodenburg,Maciej Więckowski,4.9,15.0,4.8,15.0,2.67,"Dla dzieci, Dla dzieci w wieku 6+, Dla dzieci w wieku 9+",Audiobook,Polski,2024-01-10,Tom 6 - Wampirek,M,dla dzieci
Mam prawo,Grzegorz Kasdepke,Leszek Filipowicz,4.9,15.0,4.9,15.0,2.85,"Dla dzieci, Dla dzieci w wieku 6+, Literatura faktu dla dzieci",Audiobook,Polski,2017-06-14,Nie dotyczy,M,dla dzieci
Dary karzełków,Bracia Grimm,Masza Bogucka,4.5,23.0,4.9,15.0,24.0,"Dla dzieci, Dla dzieci w wieku 9+, Klasyka dla dzieci, Bajki i baśnie",Audiobook,Polski,2020-04-27,Baśnie Braci Grimm,F,dla dzieci
Zaczarowany Zamek 8 - Na stos z nią!,Peter Gotthardt,Marta Kurzak,4.7,19.0,4.8,15.0,43.0,"Dla dzieci, Dla dzieci w wieku 9+, Książki przygodowe dla dzieci",Audiobook,Polski,2018-12-09,Tom 8 - Zaczarowany Zamek,F,dla dzieci
Pani Siedmiu Bram,Maria Zdybska,Emilia Strzelecka,3.5,14.0,4.3,15.0,13.15,Fantastyka,Audiobook,Polski,2022-06-29,Tom 1 - Irkalla,F,fantastyka
Czerń,Maja Lidia Kossakowska,Andrzej Hausner,4.3,15.0,4.3,15.0,4.92,Fantastyka,Audiobook,Polski,2021-04-01,Tom 1 - Upiór południa,M,fantastyka
Saga Wojny Mroku. Tom 1. Lot Nocnych Jastrzębi,Raymond E Feist,Jędrzej Fulara,4.4,19.0,4.6,15.0,14.85,Fantastyka,Audiobook,Polski,2024-05-13,Tom 1 - Saga Wojny Mroku,M,fantastyka
Szyfr magii,Izabela Piorun,Małgorzata Klara,4.3,15.0,4.6,15.0,10.42,"Fantastyka, Fantastyka romantyczna",Audiobook,Polski,2024-07-05,Nie dotyczy,F,fantastyka
O jeden urok za daleko. Czarownice z Inverness. Tom 2,Ludka Skrzydlewska,Katarzyna Domalewska,4.6,15.0,4.7,15.0,9.7,"Fantastyka, Fantastyka romantyczna, Romans",Audiobook,Polski,2024-12-13,Nie dotyczy,F,fantastyka
Stracone złudzenia. Wielki człowiek z prowincji w Paryżu.,Honoriusz Balzak,Michał Breitenwald,4.4,15.0,4.5,15.0,13.03,Klasyka,Audiobook,Polski,2018-11-20,Tom 2 - Stracone złudzenia,M,klasyka
Aborcja jest,Wężyk Katarzyna,Micuła Karolina,4.7,15.0,4.7,15.0,14.37,Klasyka,Audiobook,Polski,2024-02-14,Nie dotyczy,F,klasyka
Waza z epoki Ming,Tadeusz Kostecki,Wojciech Masiak,3.9,15.0,4.6,15.0,6.37,"Kryminały, Kryminały klasyczne",Audiobook,Polski,2023-01-10,Tom 16 - Kryminał z myszką,M,kryminały
Uważaj na siebie,Jakub Bączykowski,Mateusz Kwiecień,4.2,18.0,4.7,15.0,8.23,"Kryminały, Powieści detektywistyczne",Audiobook,Polski,2024-08-07,Nie dotyczy,M,kryminały
Cicha lokatorka,Clémence Michallon,Kim Sayar,3.8,16.0,3.9,15.0,11.45,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-09-11,Nie dotyczy,U,kryminały
Mój były,S.E. Lynes,Anna Rusiecka,4.0,18.0,4.4,15.0,11.83,"Kryminały, Powieści kryminalne",Audiobook,Polski,2023-07-12,Nie dotyczy,F,kryminały
W cieniu przekleństwa,Kazimierz Korkozowicz,Marek Kocot,4.1,17.0,4.5,15.0,6.05,"Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2023-09-29,Tom 130 - Kryminał z myszką,M,kryminały
Spadkobiercy pani Zuzy,Jerzy Siewierski,Tomasz Ignaczak,4.0,17.0,4.7,15.0,4.27,"Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2021-08-24,Nie dotyczy,M,kryminały
Pan dyrektor jest zajęty,Albert Wojt,Adam Kotleszka,4.0,17.0,3.9,15.0,3.4,"Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2023-05-04,Tom 26 - Kryminał z myszką,M,kryminały
Maestro,Max Czornyj,Krzysztof Plewako-Szczerbiński,3.9,20.0,4.7,15.0,8.22,"Kryminały, Thrillery",Audiobook,Polski,2024-08-21,Nie dotyczy,M,kryminały
Błyski,Kamila Bryksy,Joanna Derengowska,3.9,15.0,3.8,15.0,6.27,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2021-09-25,Nie dotyczy,F,kryminały
Intruz,Håkan Östlundh,Marcin Stec,4.4,18.0,4.5,15.0,11.95,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2024-02-28,Tom 5 - Fredrik Broman,M,kryminały
Konwersja,Piotr Rogoża,Kamil Nożyński,2.9,14.0,2.4,15.0,7.9,"Kryminały, Thrillery, Thrillery psychologiczne",Audiobook,Polski,2022-08-24,Nie dotyczy,M,kryminały
Diabelski walc,Jonathan Kellerman,Tomasz Ignaczak,4.6,20.0,4.7,15.0,16.73,"Kryminały, Thrillery, Thrillery psychologiczne, Powieści kryminalne",Audiobook,Polski,2024-04-12,Tom 7 - Alex Delaware,M,kryminały
Być Britney. Blaski i cienie życia ikony pop,Jennifer Otter Bickerdike,Marta Markowicz,3.7,15.0,4.8,15.0,8.82,"Literatura faktu, Muzyka i filmy",Audiobook,Polski,2023-04-06,Nie dotyczy,F,literatura faktu
"Nad rzekę, której nie ma. Podróż przez Amerykę Południową od Miraflores do Rio",Grzegorz Kapla,Dragun,4.2,15.0,4.8,15.0,13.5,"Literatura faktu, Podróże",Audiobook,Polski,2022-09-28,Nie dotyczy,M,literatura faktu
Niewolnicy słońca,Antoni Ferdynand Ossendowski,Marcin Popczyński,4.7,16.0,5.0,15.0,16.0,"Literatura faktu, Podróże",Audiobook,Polski,2018-07-10,Podróże Retro,M,literatura faktu
Niebanalna Majorka,Ewa Sawicka,Gabriela Jaskulla,4.0,15.0,4.1,15.0,8.65,"Literatura faktu, Podróże",Audiobook,Polski,2023-01-25,Nie dotyczy,F,literatura faktu
W piekle eboli,Tadeusz Biedzki,Krzysztof Plewako-Szczerbiński,4.3,15.0,4.3,15.0,5.23,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2020-07-07,Nie dotyczy,M,literatura faktu
Wrzenie. Francja na krawędzi,Pamuła Anna,Kowalik Maciej,4.4,16.0,4.7,15.0,7.4,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2024-02-16,Nie dotyczy,M,literatura faktu
Śladami złodziei aniołów,Paweł Szlachetko,Krzysztof Baranowski,4.3,16.0,4.3,15.0,6.55,"Literatura faktu, True Crime",Audiobook,Polski,2023-11-01,Tom 1 - Największe,M,literatura faktu
Donos na życie,Jeremi Bożkowski,Maciej Marcinkowski,4.4,16.0,4.5,15.0,4.73,"Nowele, poezja i dramat, Nowele i opowiadania",Audiobook,Polski,2022-12-05,Nie dotyczy,M,nowele
Dom nad srebrną wodą,Anna Szczęsna,Monika Chrzanowska,3.9,17.0,4.1,15.0,9.73,Powieści,Audiobook,Polski,2024-06-05,Nie dotyczy,F,powieści
Żona lobotomisty,Samantha Samantha Greene Woodruff,Iwona Milerska,4.1,16.0,4.3,15.0,11.05,Powieści,Audiobook,Polski,2022-10-12,Nie dotyczy,F,powieści
Kamienica pełna marzeń,Ewa Formella,Donata Cieślik,4.1,15.0,3.7,15.0,6.77,Powieści,Audiobook,Polski,2023-02-15,Nie dotyczy,F,powieści
Organista z martwej wsi,Danuta Chlupová,Agnieszka Postrzygacz,4.2,15.0,4.3,15.0,9.35,Powieści,Audiobook,Polski,2022-10-03,Nie dotyczy,F,powieści
Beskidzki Anioł,Klaudia Duszyńska,Gabriela Jaskuła,4.3,16.0,4.3,15.0,8.58,Powieści,Audiobook,Polski,2021-09-21,Nie dotyczy,F,powieści
Niedokończony list,Ewa Szymańska,Lena Schmischeiner,4.7,15.0,4.6,15.0,10.65,Powieści,Audiobook,Polski,2024-02-21,Nie dotyczy,F,powieści
Copper Creek. Tom 1. Brzoskwiniowy świt,Denise Hunter,Ilona Chojnowska,4.8,15.0,4.6,15.0,9.15,Powieści,Audiobook,Polski,2023-03-01,Tom 1 - Copper Creek,F,powieści
Pierwsza próba,Grace Reilly,Monika Chrzanowska,3.0,15.0,3.5,15.0,8.98,Powieści,Audiobook,Polski,2024-02-13,Nie dotyczy,F,powieści
Drzwi z siedmioma zamkami,Edgar Wallace,Dariusz Klimek,4.0,15.0,4.1,15.0,7.7,"Powieści, Kryminały, Thrillery, Powieści kryminalne, Kryminały klasyczne, Romans",Audiobook,Polski,2024-10-09,Nie dotyczy,M,powieści
Agenci szpicy,Artur Pilch,Leszek Filipowicz,3.7,15.0,4.3,15.0,11.68,"Powieści, Powieści historyczne",Audiobook,Polski,2023-04-28,Nie dotyczy,M,powieści
Marysieńka i Sobieski. Wielka miłość,Iwona Kienzler,Joanna Gajór,4.3,16.0,4.3,15.0,10.22,"Powieści, Powieści historyczne",Audiobook,Polski,2018-01-30,Nie dotyczy,F,powieści
Dobrawa pisze CV,Janina Lesiak,Joanna Gajór,4.2,14.0,4.0,15.0,5.37,"Powieści, Powieści historyczne, Biografie, Biografie polityczne i społeczne, Biografie monarchów",Audiobook,Polski,2024-10-18,Nie dotyczy,F,powieści
Strzała z Elamu,Jerzy Edigey,Tomasz Ignaczak,4.5,17.0,4.8,15.0,6.9,"Powieści, Powieści historyczne, Kryminały, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2022-01-25,Nie dotyczy,M,powieści
Tajemnica Willi Róż,A. E. W. Mason,Paweł Werpachowski,4.1,15.0,4.1,15.0,8.03,"Powieści, Powieści historyczne, Kryminały, Thrillery, Powieści kryminalne, Kryminały klasyczne",Audiobook,Polski,2022-12-22,Tom 1 - Śledztwa inspektora Hanauda,M,powieści
Kłamstwo,Ellinor Rafaelsen,Sylwia Nowiczewska,4.8,16.0,4.7,15.0,5.85,"Powieści, Powieści historyczne, Romans, Romans historyczny, Sagi rodzinne",Audiobook,Polski,2024-10-23,Tom 6 - Obietnice,F,powieści
Dogonić marzenia,Malgorzata Tarczynska,Agnieszka Postrzygacz,4.0,15.0,4.4,15.0,2.15,"Powieści, Powieści obyczajowe, Powieści współczesne, Romans",Audiobook,Polski,2022-09-09,Nie dotyczy,F,powieści
Stajnia pod lasem,Elżbieta Pragłowska,Joanna Derengowska,3.5,15.0,3.6,15.0,3.87,"Powieści, Powieści współczesne",Audiobook,Polski,2022-10-17,Nie dotyczy,F,powieści
Czas tajemnic,Santa Montefiore,Mirella Rogoza-Biel,4.2,15.0,2.8,15.0,19.17,"Powieści, Powieści współczesne",Audiobook,Polski,2020-07-31,Nie dotyczy,F,powieści
Nie uciekaj,Maja Drożdż,Anna Ryźlak,4.4,15.0,4.6,15.0,11.9,"Powieści, Powieści współczesne",Audiobook,Polski,2022-12-13,Tom 1 - Nie uciekaj,F,powieści
Tu i teraz,Tomasz Kieres,Kamil Maria Małanicz,3.8,15.0,3.5,15.0,6.3,"Powieści, Powieści współczesne, Romans",Audiobook,Polski,2023-07-07,Nie dotyczy,M,powieści
Zacząć jeszcze raz,Magdalena Dziuma,Magdalena Emilianowicz,3.8,14.0,4.3,15.0,5.48,"Powieści, Powieści współczesne, Romans",Audiobook,Polski,2024-04-29,Nie dotyczy,F,powieści
Whisky i naleśniki,Mia Ahl,Anna Wilk,4.1,15.0,4.7,15.0,8.12,"Powieści, Romans",Audiobook,Polski,2023-01-13,Tom 2 - Norra Liden,F,powieści
Tyle pamiętam,Beata Dulewicz,Ewa Konstanciak,4.7,15.0,4.6,15.0,16.65,"Powieści, Romans",Audiobook,Polski,2023-07-14,Tom 1 - Tyle pamiętam,F,powieści
Modus Operandi,Anne Marie,Karolina Gibowska Adrian Rozenek,4.3,15.0,4.5,15.0,8.65,Romans,Audiobook,Polski,2024-06-14,Nie dotyczy,G,romans
Melt,Helen Hardt,Emilia Cichocka,4.3,21.0,4.5,15.0,9.55,Romans,Audiobook,Polski,2024-02-14,Saga braci Steelów,F,romans
Noc prawdy,M. Anna,Gabriela Jaskuła,4.0,15.0,4.1,15.0,8.37,Romans,Audiobook,Polski,2022-06-22,Nie dotyczy,F,romans
Transakcja,Agnieszka Kowalska-Bojar,Diana Giurow,4.5,15.0,4.6,15.0,3.98,"Romans, Romans historyczny",Audiobook,Polski,2021-12-17,Nie dotyczy,F,romans
Kobieta w wynajętych pokojach,Katarzyna T. Nowak,Monika Bilska,3.3,15.0,3.9,15.0,4.43,"Romans, Romans sensacyjny",Audiobook,Polski,2022-04-13,Nie dotyczy,F,romans
Kosmiczna futryna,Dariusz Rekosz,Roch Siemianowski,4.0,17.0,4.7,15.0,5.67,"Rozrywka i humor, Powieści humorystyczne",Audiobook,Polski,2019-12-03,Nie dotyczy,M,rozrywka i humor
Sekrety Warszawy,Jerzy Majewski,Michał Drumowski,4.7,15.0,4.9,15.0,5.08,Rozwój osobisty,Audiobook,Polski,2023-01-18,Nie dotyczy,M,rozwój osobisty
Depresjologia,Agata Komorowska,Dorota Landowska,4.7,16.0,4.8,15.0,7.92,Rozwój osobisty,Audiobook,Polski,2017-07-19,Nie dotyczy,F,rozwój osobisty
