Title,Author,Lector,Book_Score,Number_of_ratings_book,Lector_Score,Number_of_ratings_lector,Duration,Original_Category,Format,Language,Publication_Date,Volume_Info,Gender,Category
Gothikana,RuNyx,Ewa Jakubowicz,3.5,29.0,4.1,29.0,11.52,Romans,Audiobook,Polski,2022-10-26,Nie dotyczy,F,romans
Heterochromia serca,Agata Czykierda-Grabowska,Diana Giurow i Adrian Kowarzyk,4.4,29.0,4.4,29.0,8.32,Romans,Audiobook,Polski,2024-03-08,Nie dotyczy,G,romans
Inaczej o dobrym i mądrym życiu. Inspirujący poradnik o sekretach bycia szczęśliwym i spełnionym.,Andrzej Moszczyński,Aleksander Bromberek,4.6,30.0,4.8,29.0,18.62,Rozwój osobisty,Audiobook,Polski,2021-09-29,Nie dotyczy,M,rozwój osobisty
Potęga uzdrawiania. Myśli kształtują życie,Joseph Murphy,Konrad Biel,4.7,29.0,4.6,29.0,3.72,"Rozwój osobisty, Rodzina i relacje, Zdrowie, Literatura faktu, Hobby i wypoczynek",Audiobook,Polski,2024-02-14,Nie dotyczy,M,rozwój osobisty
Thuvia z Marsa,Edgar Rice Burrroughs,Maciej Kowalik,4.5,29.0,4.7,29.0,4.37,Sci-fi,Audiobook,Polski,2021-12-13,Tom 4 - Barsoom,M,sci-fi
Moc słabości,Anna H. Niemczynow,Ewa Konstanciak,4.6,28.0,4.8,29.0,6.9,brak,Audiobook,,2024-10-23,Nie dotyczy,F,brak
Rodzeństwo - opowiadanie erotyczne,B. J. Hermansson,Wioletta Szary,3.0,44.0,3.1,29.0,36.0,brak,"Audiobook, E-book",,2019-11-04,LUST,F,brak
Osiecka. Nikomu nie żal pięknych kobiet,Zofia Turowska,Aleksandra Justa,4.5,346.0,4.6,289.0,8.53,"Biografie, Biografie artystów",Audiobook,Polski,2020-12-03,Nie dotyczy,F,biografie
Basia i remont,Zofia Stanecka,Maria Seweryn,4.9,319.0,4.8,289.0,13.0,"Dla dzieci, Dla dzieci w wieku 3+",Audiobook,Polski,2019-06-21,Basia,M,dla dzieci
Ukryta Królowa. Księga 1,Peter V. Brett,Filip Kosior,4.7,295.0,4.9,289.0,9.85,Fantastyka,Audiobook,Polski,2024-06-19,Tom 3 - Cykl Zmroku,M,fantastyka
